Feature_Imp,col_names
114,Administrative
242,Administrative_Duration
34,Informational
159,BounceRates
99,Informational_Duration
293,ExitRates
208,PageValues
319,ProductRelated_Duration
271,ProductRelated
22,Weekend_True
17,OperatingSystems_2
53,OperatingSystems_3
4,OperatingSystems_4
0,OperatingSystems_5
0,OperatingSystems_6
0,OperatingSystems_7
3,OperatingSystems_8
11,SpecialDay_0.2
0,SpecialDay_0.4
10,SpecialDay_0.6
3,SpecialDay_0.8
0,SpecialDay_1.0
0,VisitorType_Other
30,VisitorType_Returning_Visitor
8,Region_2
15,Region_3
2,Region_4
7,Region_5
2,Region_6
10,Region_7
3,Region_8
2,Region_9
39,Month_Dec
8,Month_Feb
13,Month_Jul
0,Month_June
43,Month_Mar
63,Month_May
75,Month_Nov
2,Month_Oct
11,Month_Sep
19,Browser_2
0,Browser_3
21,Browser_4
4,Browser_5
13,Browser_6
0,Browser_7
1,Browser_8
0,Browser_9
3,Browser_10
0,Browser_11
0,Browser_12
0,Browser_13
36,TrafficType_2
15,TrafficType_3
33,TrafficType_4
18,TrafficType_5
3,TrafficType_6
0,TrafficType_7
18,TrafficType_8
0,TrafficType_9
10,TrafficType_10
14,TrafficType_11
0,TrafficType_12
22,TrafficType_13
0,TrafficType_14
1,TrafficType_15
0,TrafficType_16
0,TrafficType_17
0,TrafficType_18
0,TrafficType_19
2,TrafficType_20
